1	3300	0.093	201408	4
2	6960	0.011	201402	11
3	8260	0.077	201404	7
4	3930	0.022	201409	3
5	7100	0.05	201408	3
6	7360	0.049	201401	8
7	9530	0.072	201409	4
8	5760	0.174	201407	3
9	9740	0.013	201401	11
10	3820	0.147	201403	8
11	5990	0.102	201403	6
12	7630	0.138	201407	6
13	5240	0.189	201407	3
14	9140	0.137	201404	6
15	6330	0.06	201409	3
16	6790	0.128	201406	5
17	4430	0.027	201403	8
18	8320	0.133	201406	4
19	6590	0.111	201406	7
20	4370	0.118	201401	8
21	4880	0.184	201403	9
22	5370	0.117	201409	4
23	9330	0.078	201403	6
24	9400	0.07	201408	3
25	9540	0.118	201409	3
26	4380	0.11	201409	4
27	6980	0.189	201404	9
28	7550	0.159	201406	3
29	4270	0.048	201402	11
30	9020	0.125	201401	11
31	5030	0.139	201404	9
32	4000	0.057	201409	4
33	9210	0.089	201403	6
34	7050	0.109	201409	4
35	8340	0.011	201403	6
36	6360	0.029	201405	8
37	5830	0.137	201403	6
38	6120	0.065	201407	4
39	7740	0.124	201403	3
40	4570	0.075	201409	4
41	5020	0.128	201402	4
42	7320	0.107	201406	4
43	5740	0.156	201404	8
44	6190	0.142	201403	9
45	5580	0.146	201404	3
46	7100	0.191	201401	5
47	9910	0.166	201404	8
48	5430	0.107	201405	4
49	6920	0.095	201409	3
50	8440	0.076	201403	5
51	8460	0.135	201406	6
52	4010	0.092	201401	6
53	3880	0.146	201409	4
54	9550	0.098	201408	4
55	6880	0.179	201404	8
56	7550	0.076	201409	4
57	5020	0.132	201401	8
58	3350	0.112	201401	11
59	3670	0.166	201404	6
60	7120	0.022	201406	6
61	5680	0.083	201403	3
62	8670	0.014	201409	3
63	8750	0.064	201404	5
64	6160	0.108	201405	4
65	9770	0.178	201404	6
66	8670	0.19	201408	5
67	6770	0.02	201409	4
68	7920	0.184	201404	6
69	6980	0.038	201409	3
70	3160	0.127	201406	4
71	7670	0.144	201404	3
72	6050	0.143	201402	5
73	3020	0.082	201401	9
74	4740	0.176	201401	7
75	6060	0.159	201408	5
76	9090	0.059	201405	3
77	5910	0.054	201404	4
78	6850	0.043	201405	3
79	9230	0.102	201407	5
80	5000	0.042	201403	8
81	6500	0.074	201403	7
82	9290	0.023	201402	10
83	8130	0.13	201407	5
84	4770	0.033	201408	3
85	6900	0.161	201403	8
86	6710	0.09	201405	5
87	5260	0.148	201409	3
88	5020	0.125	201408	3
89	5140	0.012	201408	4
90	8150	0.03	201409	4
91	5570	0.16	201407	6
92	5070	0.085	201409	4
93	7580	0.167	201407	3
94	3650	0.022	201404	7
95	3740	0.132	201401	4
96	5680	0.033	201406	3
97	8790	0.086	201408	3
98	5510	0.013	201402	6
99	3390	0.186	201402	4
100	9700	0.124	201404	5
