0	20120	0.032	201508	4
1	18120	0.043	201405	8
2	26870	0.113	201409	7
3	10600	0.104	201504	8
4	12430	0.056	201407	12
5	26870	0.036	201412	4
6	11650	0.07	201509	4
7	27270	0.036	201501	5
8	19770	0.084	201504	6
9	30130	0.046	201403	5
10	17650	0.016	201502	3
11	28040	0.069	201409	3
12	20260	0.039	201506	5
13	20820	0.12	201506	5
14	16700	0.074	201503	4
15	13770	0.019	201503	3
16	6640	0.096	201506	7
17	15160	0.1	201401	9
18	8820	0.057	201411	9
19	10100	0.053	201405	13
20	8580	0.055	201409	10
21	8620	0.074	201404	21
22	27670	0.039	201505	5
23	28870	0.029	201407	17
24	14830	0.047	201411	3
25	20470	0.031	201401	14
26	20960	0.058	201411	11
27	13590	0.041	201502	5
28	7620	0.083	201506	3
29	12210	0.069	201502	9
30	12290	0.093	201504	6
31	19950	0.03	201402	13
32	17910	0.036	201509	3
33	10860	0.048	201403	3
34	9750	0.078	201510	3
35	10000	0.061	201509	3
36	19880	0.035	201401	13
37	20090	0.047	201412	4
38	8510	0.089	201507	4
39	20630	0.025	201412	5
40	19950	0.019	201407	7
41	15520	0.022	201401	20
42	17670	0.074	201505	5
43	27460	0.031	201407	12
44	29210	0.026	201408	11
45	20330	0.032	201401	19
46	13100	0.082	201509	4
47	17580	0.055	201404	12
48	13270	0.051	201411	7
49	20300	0.09	201508	5
50	20540	0.02	201501	12
51	11160	0.029	201411	14
52	18850	0.049	201503	8
53	8240	0.034	201404	18
54	12700	0.069	201406	3
55	20470	0.042	201404	21
56	20630	0.028	201403	9
57	12180	0.074	201404	13
58	13690	0.034	201403	20
59	9370	0.068	201506	5
60	28080	0.032	201508	5
61	19540	0.028	201411	7
62	13280	0.029	201401	6
63	27570	0.071	201403	4
64	13830	0.074	201504	3
65	29210	0.042	201510	3
66	17890	0.032	201402	22
67	12120	0.101	201409	16
68	9170	0.081	201408	13
69	8240	0.029	201405	10
70	20210	0.037	201510	3
71	10610	0.089	201505	7
72	19950	0.031	201505	7
73	6150	0.013	201507	3
74	19590	0.041	201505	3
75	13080	0.087	201407	12
76	15670	0.041	201403	6
77	16030	0.087	201402	14
78	15950	0.054	201405	3
79	9510	0.097	201408	13
80	26160	0.045	201506	7
81	19870	0.025	201408	7
82	20730	0.095	201409	10
83	20800	0.067	201507	3
84	23290	0.016	201404	14
85	20800	0.029	201507	6
86	26720	0.071	201506	4
87	24900	0.037	201401	12
88	21420	0.101	201402	5
89	13530	0.056	201412	7
90	26780	0.037	201507	4
91	15590	0.062	201411	14
92	15760	0.091	201509	4
93	27530	0.032	201510	3
94	14130	0.075	201502	4
95	20190	0.034	201503	3
96	24650	0.092	201404	17
97	9810	0.088	201505	6
98	21670	0.036	201412	5
99	12950	0.088	201404	11
